'2770604018124000024';'7706040181';"'Исполнение музыкальных произведений в концерте Московского камерного оркестра ""Музыка вива"" «13» апреля 2024 г. в Большом зале консерватории (валторна)'";'30 900,00';
'3532103569224000011';'5321035692';'Приобретение жилого помещения, для предоставления гражданину, относящемуся к категории детей-сирот и детей, оставшихся без попечения родителей, лиц из числа детей-сирот и детей, оставшихся без попечения родителей';'2 679 600,00';'5321078745'
'2563700413023000212';'5637004130';'На поставку чая черного (ферментированного)';'6 734,84';'5612087159'
'2710703104323000191';'7107031043';'Поставка перевязочных средств (бинты марлевые, стерильные)';'16 182,05';'7118502520'
'3550900476924000001';'5509004769';'Поставка тепловой энергии';'475 778,47';'5509011967'
'2261700910222000149';'2617009102';"'Поставка антибиотков для нужд ГБУЗ СК ""Петровская РБ"" (4)'";'918 391,52';'2635239317'
'3600700304017000011';'6007003040';;'4 830,00';'7707049388'
'2350900556824000060';'3509005568';'Поставка стульев на металлическом каркасе';'50 500,00';'3525177317'
'2563700413023000215';'5637004130';'На поставку сока из фруктов и (или) овощей';'12 408,34';'5612087159'
'3420702386923000591';'4207023869';'Поставка оригинальных картриджей для МФУ KYOCERA ECOSYS M8124cidn';'168 000,00';'860239504663'
'2261700910222000148';'2617009102';"'Поставка антибиотков для нужд ГБУЗ СК ""Петровская РБ"" (3)'";'918 391,52';'2635239317'
'3332102147023000082';'3321021470';'Выполнение работ по содержанию дорог (микрорайон школы № 1) в зимний период года на территории города Петушки';'475 075,70';'3321001509'
'2380817232724000335';'3808172327';'Поставка лекарственного препарата для медицинского применения ВАКЦИНА ДЛЯ ПРОФИЛАКТИКИ ВЕТРЯНОЙ ОСПЫ';'10 018 146,20';'7705499230'
'3590308962623000010';'5902066070';'Выполнение работ по ремонту автомобильных дорог в Дзержинском районе города Перми (Проспект Парковый от ул. Зои Космодемьянской до ул. Переселенческой) ПАП 917 от 20.10.2021г.  п. 1.1.1.3.1.2';'41 293 220,21';'5903106938'
'3183504259518000016';'1835042595';;'9 045,00';'1840003344'
'2261700910222000146';'2617009102';"'Поставка антибиотков для нужд ГБУЗ СК ""Петровская РБ"" (2)'";'918 391,52';'2635239317'
'3507300893124000008';'5073008931';'Поставка мешков для мусора';'25 449,00';'524911648784'
'1673003147524000053';'6730031475';'Поставка канцелярских товаров (клей карандаш, пва) для нужд районных (городских) судов г. Смоленска и Смоленской области, Смоленского гарнизонного военного суда';'79 595,34';'281504799687'
'0372200122214000091';'7804009662';;'34 026,48';'7712005121'
'2781702733015000011';'7817027394';;'15 799,41';'7817314832'
'2451200173422000015';'4512001734';'Поставка шприцев';'447 670,40';'9721089700'
'3183504259518000014';'1835042595';;'29 120,88';'1840003344'
'3223200229824000008';'2232002298';'Услуги по аварийно-восстановительным мероприятиям по предупреждению и ликвидации наледеобразования в ручьях и водоотводных каналах в условиях пониженных температур воздуха, а также угрозы подтопления приусадебных участков и жилых домов в населенных пунктах в зимне-весенний период 2024 года на территории Алтайского района Алтайского каря';'80 000,00';'2232010965'
'2710703104323000199';'7107031043';'Поставка перевязочных средств (салфетки марлевые)';'1 104,45';'7118502520'
'3183504259518000029';'1835042595';;'950 000,00';'5612042824'
'1783905878023000072';'7839058780';"'Выполнение работ ""Пробоподготовка и проведение геохимических исследований образцов горных пород""'";'329 266,00';'1655018018'
'1673003147524000052';'6730031475';'Поставка канцелярских товаров (пишущие принадлежности) для нужд районных (городских) судов г. Смоленска и Смоленской области, Смоленского гарнизонного военного суда';'117 185,00';'3662238089'
'2773305412024000079';'7733054120';'Поставка лекарственных средств по решению ВК (Дельтиба)';'55 587,84';'7734420273'
'2781702733015000012';'7817027394';;'1 815 282,00';'7820316678'
'2263401589024000180';'2634015890';'Оказание преподавательских услуг в рамках учебной программы: «Актуальные вопросы предметно-методической подготовки учителя технологии» .';'2 406,10';'263509131848'
'1027606183623000001';'0276061836';'Отопление';'748 004,24';'0277072661'
'2263401589024000157';'2634015890';'Оказание преподавательских услуг в рамках учебной программы :«Дошкольная педагогика и психология».';'7 218,29';'263602684942'
'2344405889723000091';'3444058897';'Поставка молочной продукции';'159 002,61';'3435900891'
'1770100252024000071';'7701002520';'Поставка трибун и подиумов (Оснащение Кампуса: Иннохаб)';'415 150,00';'6671132574'
'2263401589024000145';'2634015890';'Оказание преподавательских услуг в рамках учебной программы:««Профилактика детского дорожно-транспортного травматизма как направление воспитательной работы педагога»».';'1 203,05';'263400621107'
'1420701074023000432';'4207010740';'Поставка табличек';'310 566,86';'026506514124'
'2402702762423000105';'4027027624';'Поставка печатной продукции';'296 330,00';'3662294252'
'3780538712024000009';'7805387120';'услуги по предоставлению права посещения концертов';'150 000,00';'7826742993'
'3070900469324000005';'0709004693';'Ямочный ремонт асфальтового покрытия г.о. Прохладный КБР';'2 255 000,00';'072197257489'
'2772335616024000163';'7723356160';'Услуги по обучению, а именно: Услуги председателя квалификационного экзамена по проекту «Профессиональное обучение без границ» по основной программе профессионального обучения Столяр, Реставратор произведений из дерева';'8 000,00';'772702201636'
'1772809483223001035';'7728094832';'Оказание услуг по обучению работников';'4 387,90';'6320266120'
'2132625795924000016';'1326257959';'Закупка ракообразных, моллюсков и прочих беспозвоночных водных, мороженых, переработанных или консервированных ';'13 120,00';'1328008330'
'3183504259518000013';'1835042595';;'120 920,40';'1840003344'
'3614201387023000001';'6142013870';'Поставка газа';'412 000,00';'6167049710'
'2225800112223000265';'2258001122';'Поставка лекарственного препарата для медицинского применения Бисопролол (Лот № 16)';'1 230,00';'5012074091'
'1773124346723000502';'7731243467';'Поставка расходного материала';'9 600 000,00';'9709069560'
'2781404693821000018';'7814046938';'Оказание услуг по обеспечению функционирования компонентов централизованной автоматизированной системы передачи информации и извещений о пожаре и других чрезвычайных ситуациях (СПИ «ЦАСПИ»), включая действующие линии связи, для передачи извещений о пожарах на пульт «ЦУКС ГУ МЧС по г. Санкт-Петербургу», контролируя информационные потоки в ГБДОУ детский сад №58 Приморского района Санкт-Петербурга в 2022 - 2023 годах';'159 120,00';'4703108968'
'2550302559324000205';'5503025593';'Поставка медицинских расходных материалов для ПАО-2 (гистология)';'110 962,36';'7710240514'
'2784001162824000051';'7840011628';'Поставка металлопроката в 2024 году';'32 909,40';'662314605728'
'3507300893124000007';'5073008931';'Поставка санитарно-гигиенических средств';'40 852,10';'5263126355'
'3291500096224000025';'2915000962';'Работы по чистке водоотводных канав в селе Яренск Ленского района';'90 019,62';'291501079542'
'3760431942724000009';'7604319427';"'выполнение работ  по разработке научно-проектной документации по сохранению объекта культурного наследия федерального значения ""Здание губернской земской управы, 1880-е годы», расположенного по адресу:  г. Ярославль, ул. Андропова д.6 (ремонт фасада)'";'783 543,62';'7715929393'
'2782669289424000009';'7826692894';'Закупка расходных материалов и комплектующих для вычислительной техники и периферийного оборудования';'66 548,36';'390614782235'
'3430200207224000004';'4302002072';"'Поставка оборудования для модельной библиотеки в рамках Федерального проекта ""Культурная среда"" на базе Детской библиотеки МБУК ""Афанасьевская ЦБ""'";'77 953,75';'575307790349'
'3298300355224000007';'2983003552';'Поставка моторных масел и специальных жидкостей';'235 186,97';'2983011715'
'3402900951823000081';'4029009518';'Капитальный ремонт отделения врачей общей практики № 1 по адресу: г. Калуга, ул. Бульвар Моторостроителей, д. 9 (монтаж охранной сигнализации)';'402 784,40';'4028043876'
'1111600443024000114';'1116004430';'Поставка медицинских изделий (облучатель ультрафиолетовый бактерицидный), ввод в эксплуатацию медицинских изделий, обучение правилам эксплуатации специалистов, эксплуатирующих медицинское изделие';'69 532,94';'291500614109'
'3183504259518000011';'1835042595';;'8 530,44';'1840003344'
'1519112008724000020';'5191120087';'Сейф металлический';'26 052,00';'5190402829'
'2182700023123000338';'1827000231';'№ 37423 Лезвие скальпеля, одноразового использования';'30 720,00';'1832059960'
'2562200088724000063';'5622000887';'на поставку лекарственного препарата для медицинского применения ХОЛИНА АЛЬФОСЦЕРАТ';'10 932,00';'7736611354'
'3760431942724000010';'7604319427';"'выполнение работ  по разработке научно-проектной документации по сохранению объекта культурного наследия федерального значения ""Здание губернской земской управы, 1880-е годы», расположенного по адресу:  г. Ярославль, ул. Андропова д.6 (ремонт крыши)'";'494 596,80';'7715929393'
'2784001162824000047';'7840011628';'Поставка картриджей в 2024 году';'484 562,86';'772606739904'
'2780415789324000029';'7804157893';'Поставка расходного материала для теплиц в СПбГБПОУ «Садово-архитектурный колледж» в 2024 году';'7 158,36';'100201950196'
'2542310125623000373';'5423101256';'Поставка продуктов питания  сок фруктовый (ОМС)';'22 275,00';'5401343452'
'3183504259518000010';'1835042595';;'110 714,88';'1832096497'
'3165016289024000006';'1650162890';'Поставка моющих дезинфицирующих средств для нужд муниципальных учреждений';'40 545,35';'165025319409'
'2182700023124000015';'1827000231';'зз-52152 - 2023 Реактивы для определения факторов свертывания';'273 600,00';'183403322200'
'2561021432324000021';'5610214323';'На поставку элементов первичных и батарей первичных элементов';'35 349,85';'272505622166'
'2504206480924000017';'5042064809';'Поставка предметов личной гигиены (туалетная бумага, салфетки)';'29 444,00';'7612045770'
'2362800964223000033';'3628009642';'Коммунальные услуги (водоотведение)';'43 366,52';'3628019094'
'3183504259518000007';'1835042595';;'150 000,00';'7707049388'
'2770426204424000013';'7704262044';'Оказание комплекса возмездных услуг по организации и проведению  мероприятий';'847 500,00';'7704402598'
'2783000234215000248';'7830002342';"'Оказание услуг о подключении (технологическом присоединении) к централизованной системе водоотведения объекта: Строительство дошкольного образовательного учреждения, Санкт-Петербург, проспект Испытателей, участок 1, (территория, ограниченная пр.Испытателей, пр.Сизова, Туполевской ул., Комендантской пл., в Приморском районе; ФЗУ №9) (озеро Долгое, квартала 29А, участок 9, корпус 11) (150 мест)'";'428 150,07';'7830000426'
'2501500688624000008';'5015006886';'Поставка спортивных товаров : Поставка кроссовок легкоатлетических';'514 800,00';'774341700733'
'1770100252024000070';'7701002520';'Поставка диванов';'1 345 500,00';'2130215258'
'1760401364724000008';'7604013647';'Оказание услуг по перевозке (транспортировке) грузов';'187 000,00';'644100051424'
'1111600443024000105';'1116004430';'Оказание медицинских услуг лицам, заключенным под стражу или отбывающим наказание в виде лишения свободы';'289 879,00';'1108007780'
'3672201226023000002';'6722012260';'Оказание услуг по обращению с твердыми коммунальными отходами';'25 116,48';'6731069440'
'3183504259518000009';'1835042595';;'24 095,88';'1831098533'
'1440104919124000028';'4401049191';'Печатная продукция для организации боевой подготовки';'70 000,00';'4401077600'
'2782003889315000001';'7820038893';;'45 831,20';'7707049388'
'2861201456523000327';'8612014565';'Оказание услуг по проведению лабораторно – инструментальных исследований, согласно программе производственного контроля';'20 038,98';'8602283657'
'2290128289024000019';'2901282890';'Оказание услуг по предоставлению ГБУ АО «АрхОблКадастр» неисключительных (пользовательских) прав на программное обеспечение для управления процессами и мероприятиями по защите информации';'72 500,00';'3525217746'
'2784001162824000009';'7840011628';'Поставка спецодежды в 2024 году';'1 405 915,71';'7804546931'
'2781902044324000016';'7819020443';'Поставка ноутбуков';'258 320,00';'7801717787'
'2773305412024000092';'7733054120';'Поставка комплектов изделий для внутривенного облучения крови в 2024 году.';'29 401,92';'7708600294'
'1519112008724000018';'5191120087';'поставка бумаги для офисной техники';'800 000,00';'5190401310'
'3183504259518000008';'1835042595';;'290 037,38';'1832118849'
'2745301364224000051';'7453013642';'Поставка инструментов эндоскопических';'779 951,00';'7813211064'
'2781700530524000019';'7817005305';'Поставка баллонов под газовую смесь';'432 000,00';'7802639475'
'2781902044324000015';'7819020443';'Поставка многофункционального устройства (МФУ)';'54 300,00';'7801717787'
'1246605086823000013';'2466050868';'Выполнение работ по текущему ремонту помещений для нужд ГУ МВД России по Красноярскому краю';'489 584,71';'2463117641'
'2501500688624000006';'5015006886';'Поставка библиотечного фонда';'350 274,36';'7716192874'
'2503104429324000021';'5031044293';"'Поставка канцелярских товаров : Поставка канцелярских товаров для нужд ГКУ МО ""ЦЗН МО""'";'76 876,12';'4632244104'
'3616400429124000007';'6164004291';'Поставка перчаток смотровых/процедурных нитриловых, неопудренных, нестерильных';'116 706,00';'6162050380'
'1783830267624000031';'7838302676';'Поставка картриджей для оргтехники';'101 560,00';'2460122114'
'3183504259518000006';'1835042595';;'128 000,00';'7707049388'
'2331000194824000032';'3310001948';"'Поставка лекарственного препарата для медицинского применения: МНН Адалимумаб (ТН Хумира) для обеспечения отдельных категорий граждан в соответствии с Законом Владимирской области от 02.10.2007 № 120-ОЗ для нужд ГБУЗ ВО ""Суздальская районная больница""'";'286 501,32';'7726311464'
'1575101307324000073';'5751013073';'Поставка продуктов питания';'693 000,00';'7733347775'
'3291500096224000024';'2915000962';'Работы по погрузке и вывозу снега с улиц с. Яренск Ленского района';'228 499,20';'291500002177'
'3742900107524000002';'7429001075';'Текущий ремонт и содержание уличного освещения на автомобильных дорогах Верхнеуральского городского поселения';'1 200 000,00';'7455012387'
'3672201221423000002';'6722012214';'Оказание услуг по обращению с твердыми коммунальными отходами';'13 255,56';'6731069440'
'2770236128022000053';'7702361280';'Теплоснабжение';'53 466,34';'7720518494'
'2745301364223001276';'7453013642';'Поставка сфинктеротомов эндоскопических';'670 890,00';'7813211064'
'2702102165323000689';'7021021653';'Поставка лекарственного препарата для медицинского применения группы Циклоспорин';'63 945,00';'5044114526'
'2290103047723000846';'2901030477';'Поставка кава-фильтра.';'302 500,00';'781134565484'
'2590506107024000232';'5905061070';'Поставка контейнеров для цитотоксических отходов';'561 840,00';'1655398144'
'3672201247923000002';'6722012479';'Оказание услуг по обращению с твердыми коммунальными отходами';'25 618,81';'6731069440'
'2613300616124000001';'6133006161';'Приобретение твердого топлива (уголь марки АС).';'543 589,50';'6155093200'
'3243400104022000002';'2434001040';'Услуги по адаптации и сопровождению справочной правовой системы КонсультантПлюс';'398 906,27';'2460092565'
'2773305412024000086';'7733054120';'Поставка соли пищевой переработанной , измельченной для галокамеры для ОСП ТС на 2024 год';'25 920,00';'7813347731'
'1770100252024000151';'7701002520';'Поставка циркуляционных насосов, канализационных установок';'226 800,00';'7720610718'
'2772000185024000371';'7720001850';'Поставка термоиндикаторов';'231 316,60';'774326134508'
'2745301364223001227';'7453013642';'Поставка катетеров для гемодиализа';'172 763,84';'7733369708'
'3183504259518000005';'1835042595';;'55 000,00';'1826000408'
'2434502048524000051';'4345020485';'Оказание услуг по страхованию объектов недвижимого имущества КОГКУ ЦЗН города Кирова';'18 916,67';'7705041231,7705041231'
'2780614765024000012';'7806147650';'Оказание услуг по организации проведения культурно-познавательной программы «Театральный урок в Мариинском театре»';'22 400,00';'7812024600'
'3614201320723000001';'6142013207';'Энергоснабжение';'390 000,00';'6168002922'
'2420534966424000438';'4205349664';'Поставка лекарственных препаратов';'629 120,80';'7017419410'
'2420534966424000460';'4205349664';'Поставка лекарственных препаратов (приобретение товаров в пользу граждан в целях их социального обеспечения)';'256 204,00';'7017419410'
'3290800512723000064';'2908005127';'Выполнение кадастровых работ в отношении объектов, расположенных на территории Верхнетоемского муниципального округа';'278 600,00';'2911006949'
'2420534966423001876';'4205349664';'Поставка лекарственных препаратов для медицинского применения: МНН: Глицерол фенилбутират (Равикти)';'1 206 200,00';'4205410936'
'2420534966424000446';'4205349664';'Поставка лекарственных препаратов';'2 473 620,00';'7017419410'
'2420534966424000430';'4205349664';'Поставка лекарственных препаратов (приобретение товаров в пользу граждан в целях их социального обеспечения)';'3 847 536,00';'7816597391'
'2263404555924000034';'2634045559';'Поставка пишущих канцелярских товаров';'8 468,00';'263513815505'
'3543710196123000004';'5437101961';'Водоснабжение';'332,90';'5453007074'
'3291500096223000085';'2915000962';"'Работы по зимнему содержанию автомобильных дорог общего пользования, находящихся в собственности МО ""Ленский муниципальный район""'";'12 880 645,00';'2904012719'
'1391751345724000188';'3917513457';'услуги по ремонту системы ангиографической Artis Q';'210 000,00';'7717738034'
'3742900107524000001';'7429001075';'Содержание автомобильных дорог в зимний период на территории Верхнеуральского городского поселения';'5 499 921,25';'7425759157'
'2263300166123001049';'2633001661';'Поставка продуктов питания (Мясо говядина, цыплята-бройлеры)';'2 443 125,50';'0900008387'
'2056206403424000014';'0562064034';'МФУ, моноблок, устройство для хранения данных';'148 363,37';'054530439000'
'2782032686024000023';'7820326860';'Поставка средств индивидуальной защиты и аптечек для нужд ГБУ ДО ЦДЮТТИТ Пушкинского района Санкт-Петербург';'34 560,00';'6686049470'
'2523900108024000054';'5239001080';'Осуществление закупки Проектора';'134 325,00';'526112244806'
'1246622853323000519';'2466228533';'Поставка мягкого инвентаря';'542 063,76';'3700000594'
'3543710196123000006';'5437101961';'обращение с ТКО';'1 740,21';'5403103135'
'1263401770624000024';'2634017706';'печь хлебопекарная электрическая, расстоечный шкаф с крышей и подставкой';'280 800,00';'2635258479'
'2056206403424000013';'0562064034';'Сканер';'20 062,93';'7716962604'
'2263404555924000033';'2634045559';'Поставка чистящих, моющих средств и тряпок для очистки поверхностей';'165 787,15';'263513815505'
'2940800290024000002';'9408002900';'Поставка газа';'256 655,52';'9403001613,9403001613'
'3591800779219000008';'5918007792';'Поставка тепловой энергии';'698 623,84';'5918011573'
'2745301364224000118';'7453013642';'Поставка расходных материалов для операций с искусственным кровообращением';'430 000,00';'7453311416'
'2523900108024000043';'5239001080';'Осуществление закупки стола для кинезотерапии';'255 000,00';'5263128031'
'1132502662024000061';'1325026620';'Поставка открыток поздравительных';'12 932,70';'3120099928'
'3613500179324000005';'6135001793';'учебники печатные общеобразовательного назначения';'1 628 808,50';'7715995942'
'1263401770624000025';'2634017706';'Машина тестомесильная с дежой из нержавеющей стали емкостью 140 л.';'282 460,00';'263605905357'
'2594805842724000032';'5948058427';'Поставка смесей молочных';'1 243 200,00';'665910915780'
'2263201583024000010';'2632015830';'ПОСТАВКА ЛЕКАРСТВЕННОГО ПРЕПАРАТА ДЛЯ МЕДИЦИНСКОГО ПРИМЕНЕНИЯ МНН СУЛЬБАКТАМ';'90 000,00';'9715389952'
'2027419192824000013';'0274191928';'Полуприцеп';'2 950 000,00';'2411015261'
'2683202476623000022';'6832024766';'Поставка средства дезинфицирующего (перекись водорода).';'976 828,50';'183205389066'
'3183504259518000004';'1835042595';;'89 935,68';'1840043876'
'2711602979524000022';'7116029795';'Поставка полотенец';'112 500,00';'7114006418'
'2027419192824000014';'0274191928';'Приобретение и поставка  грузового автомобиля для нужд ГКУ РБ Управление по мелиорации земель';'1 980 000,00';'5321164803'
'1132502662024000050';'1325026620';'Поставка средств огнетушения';'153 383,68';'3525437734'
'1772200082024000080';'7722000820';'Скамья гимнастическая';'51 317,33';'025901270188'
'2290104157424000126';'2901041574';'Поставка аппарата искусственной вентиляции легких портативного для приемного отделения';'213 000,00';'5263093815'
'2661700576124000014';'6617005761';'Поставка картриджей для принтеров и многофункциональных устройств';'99 880,00';'2465287173'
'2683202476622000308';'6832024766';'Поставка лекарственного препарата Атракурия безилат';'208 289,75';'7731329393'
'2720207693623000127';'7202076936';'Поставка стеклоомывающей жидкости для автомобилей';'190 440,00';'7203336190'
'2236701820724000013';'2367018207';'Поставка картриджей';'58 212,30';'9718227580'
'3550404854724000011';'5504048547';'Поставка книг для комплектования библиотечных фондов';'6 727,50';'9705120529'
'2861100345824000086';'8611003458';'Поставка лекарственного препарата для медицинского применения Железа карбоксимальтозат';'302 525,30';'5005066100'
'2262803323424000019';'2628033234';'Поставка реагентов диагностических для гематологического анализатора ВС-30S, имеющегося у заказчика';'250 808,00';'263601992655'
'2292200841924000024';'2922008419';'Поставка реагентов совместимых с анализатором Mindray BS-240pro';'598 960,08';'7801426604'
'2810700228420000003';'8107002284';'Поставка тепловой энергии';'2 318 294,90';'5981004884'
'1301700248124000033';'3017002481';'Поставка изделий медицинского назначения (индикаторы)';'119 978,00';'7813137798'
'1771406175624000193';'7714061756';'Поставка аппарата для кондуктивного подогрева крови/инфузионных растворов';'7 350 000,00';'5003117616'
'2745301364224000264';'7453013642';'Поставка перчаток латексных смотровых';'618 894,00';'7728483998'
'2810701163422000010';'8107011634';'Книга «Минькины рассказы» авт. М.Мартынов';'136 000,00';'590304534083'
'3591800779219000003';'5918007792';'Поставка электрической энергии';'844 730,07';'5904123809'
'2372801298424000016';'3728012984';'Бумага для офисной техники';'1 825,00';'370240943918'
