Номер реестровой записи контракта;Заказчик: ИНН;Предмет контракта;Цена контракта;Информация о поставщиках (исполнителях, подрядчиках) по контракту: ИНН
'2246300420723000253';'2463004207';"'ЗК 53/23 На право поставки медицинских изделий (Катетер аспирационный трахеальный, катетер для периферических сосудов, зонд, катетер мочеточниковый) для нужд КГБУЗ ""Красноярский краевой госпиталь для ветеранов войн"" в 2023 г.'";'79 248,00';'2463076096'
'2246300420723000233';'2463004207';"'ЗК 63/23 ""На право поставки медицинских изделий (Лейкопластыри) для нужд КГБУЗ ""Красноярский краевой госпиталь для ветеранов войн"" в 2023 г. – 2024 г.""'";'91 226,40';'5407973958'
'2246300420723000455';'2463004207';"'ЗК-№-23270/23 «Капитальный ремонт кабинетов отделения лучевой диагностики КГБУЗ ""ККГВВ"", расположенного по адресу: г. Красноярск, ул. Вильского, 11»'";'2 159 290,00';'2466255262'
'2246300420723000073';'2463004207';"'ЗК 10/23 ""На право поставки медицинских изделий (шприц общего назначения) для нужд КГБУЗ ""Красноярский краевой госпиталь для ветеранов войн"" в 2023 г. (лот №2)""'";'233 000,00';'7728388529'
'2246300420723000076';'2463004207';"'ЗК 12/23 ""На право поставки медицинских изделий (Электрод для электрокардиографии, одноразового использования) для нужд КГБУЗ ""Красноярский краевой госпиталь для ветеранов войн"" в 2023 г. – 2024 г.""'";'68 800,00';'6658344555'
'2246300420723000072';'2463004207';"'ЗК 09/23 ""На право поставки медицинских изделий (Шприц инсулиновый/ убираемая игла, шприц общего назначения) для нужд КГБУЗ ""Красноярский краевой госпиталь для ветеранов войн"" в 2023 г. (лот №1)""'";'190 000,00';'7728388529'
'2246300420723000071';'2463004207';"'ЗК 11/23 ""На право поставки медицинских изделий (шприц общего назначения) для нужд КГБУЗ ""Красноярский краевой госпиталь для ветеранов войн"" в 2023 г. (лот №3)""'";'165 000,00';'7728388529'
'2246300420723000197';'2463004207';'ЭА-№-5343/23 «товар бытовой химии по г. Красноярску и прилегающим территориям, 2023-2024 гг»';'488 122,32';'2460088103'
'3636800083423000042';'6368000834';"'Поставка продуктов питания (овощи - Лот 2) для нужд Государственного бюджетного учреждения здравоохранения Самарской области ""Елховская центральная районная больница""'";'50 131,52';'6313536457'
'2593318033622000148';'5933180336';'Оказание услуг частной охраны';'1 097 280,00';'5904223183'
'1180870044624000014';'1808700446';'Поставка смесей сухих строительных в рамках капитального ремонта здания ШИЗО Литер Л';'48 943,40';'1840118803'
'3594220052519000006';'5942200525';;'24 104,02';'7707049388'
'2246300420723000115';'2463004207';"'ЭА 56/23 ""На право поставки лекарственных препаратов (КЕТОПРОФЕН) для нужд КГБУЗ «Красноярский краевой госпиталь для ветеранов войн» на 2023 г.""'";'16 056,00';'2466189073'
'2246300420723000369';'2463004207';"'ЭА 137/23 ""На право поставки лекарственных препаратов (КЕТОПРОФЕН) для нужд КГБУЗ «Красноярский краевой госпиталь для ветеранов войн» на 2023 г.""'";'15 921,00';'2466189073'
'2246300420723000074';'2463004207';"'ЭА 31/23 ""На право поставки реагентов (Множественные аналиты клинической химии ИВД, контрольный материал) для нужд КГБУЗ «Красноярский краевой госпиталь для ветеранов войн» в 2023 году""'";'44 512,32';'246309909428'
'2246300420721000153';'2463004207';"'ЭА 4566/21 ""На право поставки медицинских изелий (марля, бинт) для нужд КГБУЗ ""Красноярский краевой госпиталь для ветеранов войн"" в 2021-2022гг""'";'223 003,00';'3702255862'
'2246300420723000245';'2463004207';"'ЭА 116/23 ""На право поставки лекарственных препаратов (АМОКСИЦИЛЛИН+КЛАВУЛАНОВАЯ КИСЛОТА) для нужд КГБУЗ «Красноярский краевой госпиталь для ветеранов войн» на 2023 г.""'";'77 017,20';'0273935941'
'3482602594424000005';'4826025944';'Поставка песка';'4 394,08';'4825134901'
'2860311280923000448';'8603112809';'Поставка медицинских наборов для уроандрологического отделения';'201 973,60';'7734171740'
'3504901232724000004';'5049012327';'Поставка учебной литературы';'469 330,40';'7715995942'
'2246300420723000275';'2463004207';"'ЭА 131/23 ""На право поставки медицинских изделий (Чехол защитный для инвазивного датчика ультразвуковой визуализации, стандартный, стерильный) для нужд КГБУЗ ""Красноярский краевой госпиталь для ветеранов войн"" в 2023 г. – 2024 г.""'";'8 463,75';'2466169983'
'2246300420723000327';'2463004207';"'На право поставки и ввода в эксплуатацию системы стабилографии для нужд КГБУЗ ""Красноярский краевой госпиталь для ветеранов войн"" в 2023 году'";'1 099 519,97';'5904403884'
'3594220052519000002';'5942200525';;'99 359,55';'5942002315'
'3342600782923000001';'3426007829';'Продажа электрической энергии (мощности)';'1 847 233,91';'3445071523'
'3594220052519000003';'5942200525';;'822 399,96';'5916024143'
'1180870044624000012';'1808700446';'Поставка кирпича керамического в рамках капитального ремонта здания ШИЗО литер Л';'73 916,40';'183501030502'
'2772631844524000021';'7726318445';'Аукцион в электронной форме на поставку оборудования для видеонаблюдения в ГБУЗ «ДСП № 43 ДЗМ»';'84 724,26';'771683156253'
'2263524419423002744';'2635244194';'Поставка средств транспортных для коммунального хозяйства и содержания дорог';'92 165 333,28';'9102050046'
'3540506945823000045';'5405069458';'Оказание услуг по обучению медицинских работников';'29 793,64';'5404216854'
'1772800895324000219';'7728008953';'Поставка изделий медицинского назначения для отделения функциональной диагностики';'501 405,00';'7736056887'
'1183102101918000106';'1831021019';;'487,68';'1828019267'
'1222500879624000035';'2225008796';'Поставка голосообразующих аппаратов для обеспечения граждан';'661 041,28';'7743582506'
'2110148715023000394';'1101487150';'Поставка лекарственного препарата для медицинского применения Лактулоза для нужд Государственного учреждения «Коми республиканский онкологический диспансер»';'58 500,00';'7714474016'
'2745313582724000700';'7453135827';'поставка лекарственного препарата для медицинского применения – МОМЕТАЗОН для обеспечения вне федеральных перечней льготных категорий граждан дорогостоящими лекарственными препаратами, в том числе предназначенными для лечения больных гемофилией, муковисцидозом, гипофизарным нанизмом, болезнью Гоше, злокачественными новообразованиями лимфоидной, кроветворной и родственных им тканей, рассеянным склерозом, гемолитико-уремическим синдромом, юношеским артритом с системным началом, мукополисахаридозом I, II и VI типов, апластической анемией неуточненной, наследственным дефицитом факторов II (фибриногена), VII (лабильного), X (Стюарта-Прауэра), а также после трансплантации органов и (или) тканей, включая обеспечение по решениям суда';'1 183,20';'7724053916'
'2860311280924000078';'8603112809';'Поставка картриджа с перекисью водорода для аппарата';'490 875,00';'7810776309'
'2010400090423000004';'0104000904';'Поставка технических средств реабилитации (совместный электронный аукцион)';'194 999,37';'3665823472'
'1745304082224000007';'7453040822';'Поставка в 2024 году кресел-колясок с ручным приводом для лиц с большим весом комнатных и прогулочных в целях социального обеспечения лиц, проживающих на территории Челябинской области';'896 000,00';'3665823472'
'2391751525324000019';'3917515253';'на поставку лекарственных препаратов для медицинского применения (МНН: Индапамид)';'102 022,74';'2636801680'
'2246300420722000267';'2463004207';"'ЭА-№-15071/22 « ""На право поставки лекарственных препаратов (ТИОКТОВАЯ КИСЛОТА) для нужд КГБУЗ «Красноярский краевой госпиталь для ветеранов войн» на 2022-2023 гг.""'";'550 000,00';'0273935941'
'2246300420723000051';'2463004207';"'ЭА 28/23 ""На право поставки лекарственных препаратов (МЕЛОКСИКАМ) для нужд КГБУЗ «Красноярский краевой госпиталь для ветеранов войн» на 2023 г.""'";'22 957,20';'2466189073'
'2593800061123000087';'5938000611';"'ПРИОБРЕТЕНИЕ ОБОРУДОВАНИЯ ДЛЯ  ОКАЗАНИЯ МЕДИЦИНСКОЙ ПОМОЩИ ГБУЗ ПК ""Кишертская ЦРБ""'";'50 136,67';'5905271824'
'2263524419423002968';'2635244194';'Оказание услуг по предоставлению неисключительных (пользовательских) прав (лицензий) на использование программного обеспечения «1С: Комплект поддержки»';'411 930,00';'2635086621'
'1720401364223000234';'7204013642';'Разработка проектно-сметной документации по объекту: «Капитальный ремонт участков тепловой сети от тепловой камеры ТК-2 до тепловой камеры ТК-11, от тепловой камеры ТК-3а до здания Лечебного корпуса, от тепловой камеры ТК-5 до точки врезки, от тепловой камеры ТК-4 до здания Спального корпуса»';'622 550,78';'7202180969'
'2352829765124000079';'3528297651';'Оказание услуг по восстановлению работоспособности Видеогастроскопа (SonoScape EG-330)';'119 500,00';'7804548784'
'2590431036524000122';'5904310365';'Закупка товара у единственного поставщика на сумму, предусмотренную частью 12 статьи 93 Закона № 44-ФЗ';'61 000,00';'3906392360'
'2593800061123000079';'5938000611';"'ПОСТАВКА РАСХОДНЫХ МАТЕРИАЛОВ (РЕАКТИВЫ ) ДЛЯ КДЛ ГБУЗ ПК ""КИШЕРТСКАЯ ЦРБ""'";'78 581,55';'5904312891'
'3540506945824000036';'5405069458';'Поставка стеллажей';'99 618,72';'7203388335'
'2782700193424000040';'7827001934';'Поставка рабочих тетрадей и прописей в 2024 году';'250 862,20';'7811746138'
'3480300969623000010';'4803009696';'Оказание охранных услуг';'482 550,96';'4825038531'
'2246300420723000055';'2463004207';"'ЭА 23/23 ""На право поставки лекарственных препаратов (ПЕНТОКСИФИЛЛИН) для нужд КГБУЗ «Красноярский краевой госпиталь для ветеранов войн» на 2023 г. – 2024 г.""'";'89 650,00';'7724922443'
'2246300420723000116';'2463004207';"'ЭА 70/23 ""На право поставки лекарственных препаратов (ИНДАПАМИД) для нужд КГБУЗ «Красноярский краевой госпиталь для ветеранов войн» на 2023 г. ""'";'51 300,00';'7724922443'
'1745304082223000389';'7453040822';'Поставка по территории Челябинской области в 2024 году кресел-колясок с ручным приводом для управления одной рукой комнатных и прогулочных';'1 858 450,00';'6321264550'
'3372801263117000018';'3728012631';;'400 000,00';'3731000308'
'3025700812124000011';'0257008121';'Книги';'84 453,75';'7719633799'
'2890401811924000048';'8904018119';'Поставка расходных материалов для биохимического анализатора';'45 128,16';'7203462490'
'2745313582724000248';'7453135827';'Поставка Тест-полосок для определения содержания глюкозы в крови для оказания отдельным категориям граждан социальной услуги по обеспечению лекарственными препаратами для медицинского применения по рецептам на лекарственные препараты, медицинскими изделиями по рецептам на медицинские изделия, а также специализированными продуктами лечебного питания для детей-инвалидов за счет средств областного бюджета';'474 759,00';'7731241639'
'2010400090423000006';'0104000904';'Поставка технических средств реабилитации (совместный электронный аукцион)';'587 038,48';'2225135709'
'2027403310324000179';'0274033103';'Поставка медицинских изделий (фетр медицинский)';'1 542 450,00';'5837005613'
'1391800870724000009';'3918008707';'Двери и пиломатериалы для благоустройства питомника служебного собаководства';'33 426,77';'390404985180'
'2782671787724000004';'7826717877';'Поставка учебно-демонстрационного оборудования для кабинета ОБЖ';'481 593,80';'7813448673'
'1770707953724000022';'7707079537';"'Изготовление и поставка головных уборов к спектаклю ""Питер Пэн""'";'2 216 000,00';'780500859619'
'2702102165323000678';'7021021653';'Поставка лекарственного препарата для медицинского применения группы Дапаглифлозин';'8 480 340,00';'2310212094'
'2772976068323000098';'7729760683';'Выполнение работ по ремонту полов подземного паркинга';'20 623 906,00';'5034054388'
'2027403310324000169';'0274033103';'Поставка медицинских изделий (протез кровеносного сосуда)';'739 900,00';'645407112767'
'3532103569224000006';'5321035692';'Приобретение жилого помещения, для предоставления гражданину, относящемуся к категории детей-сирот и детей, оставшихся без попечения родителей, лиц из числа детей-сирот и детей, оставшихся без попечения родителей';'2 679 600,00';'5321078745'
'1183102101918000151';'1831021019';;'199 691,45';'1840050707'
'1180870044624000015';'1808700446';'Поставка блоков оконных пластиковых в рамках капитального ремонта здания ШИЗО литер Л';'139 000,00';'182001068626'
'1165500776024000071';'1655007760';'Поставка дверных доводчиков для нужд ФГБОУ ВО Казанский ГМУ Минздрава России';'73 435,16';'213001463802'
'1615503386724000007';'6155033867';'Закупка банно-прачечного оборудования';'550 000,00';'2635094541'
'2027403310324000150';'0274033103';'Поставка медицинских изделий(оксигенатор крови мембранный)';'1 700 000,00';'110204967620'
'2594950003824000019';'5949500038';"'Поставка расходного материала (салфетка спиртовая) для нужд ГБУЗ ПК ""Сивинская ЦРБ'";'186 577,35';'5904380154'
'2616104007623000005';'6161040076';"'Преподавательская услуга по реализации: дополнительной общеразвивающей образовательной программе «Математика» 5 класс (очная форма обучения с применением дистанционных образовательных технологий); дополнительной общеразвивающей образовательной программе «Астрономия для начинающих», 7-10 лет (очная форма обучения)'";'40 362,00';'616484189904'
'2246300420723000019';'2463004207';'ЭА-№-22159/22 «ОФЛОКСАЦИН»';'121 800,00';'2466189073'
'2246300420722000263';'2463004207';"'ЭА 85/22 ""На право поставки лекарственных препаратов (АЦЕТИЛСАЛИЦИЛОВАЯ КИСЛОТА) для нужд КГБУЗ «Красноярский краевой госпиталь для ветеранов войн» на 2023 г.""'";'60 240,00';'2466189073'
'2246300420722000259';'2463004207';'ЭА-№-14867/22 «ИНОЗИН+НИКОТИНАМИД+РИБОФЛАВИН+ЯНТАРНАЯ КИСЛОТА»';'1 156 000,00';'2466189073'
'2132619621624000052';'1326196216';"'поставка медицинских изделий - очистителей воздуха, ввод в эксплуатацию медицинских изделий, обучение правилам эксплуатации специалистов, эксплуатирующих медицинские изделия, и специалистов, осуществляющих техническое обслуживание медицинских изделий для объекта капитального строительства: ""Ичалковский дом-интернат для престарелых и инвалидов""'";'4 960 790,00';'1326251273'
'2246300420723000278';'2463004207';"'ЭА 121/23 ""На право поставки лекарственных препаратов (СУЛЬПИРИД) для нужд КГБУЗ «Красноярский краевой госпиталь для ветеранов войн» на 2023 г. – 2024 г.""'";'50 874,00';'2466189073'
'2246300420722000239';'2463004207';"'ЭА 84/22 ""На право поставки лекарственных препаратов (АПИКСАБАН) для нужд КГБУЗ «Красноярский краевой госпиталь для ветеранов войн» на 2022– 2023 гг.""'";'126 368,00';'7726311464'
'2246300420723000148';'2463004207';"'ЭА 94/23 ""На право поставки медицинских изделий (Наконечник для кружки Эсмарха и микроклизм) для нужд КГБУЗ ""Красноярский краевой госпиталь для ветеранов войн"" в 2023 г.""'";'63 723,11';'5754027370'
'2246300420723000214';'2463004207';"'ЭА-№-5292/23 «На право поставки медицинских изделий (Салфетка антисептическая) для нужд КГБУЗ ""Красноярский краевой госпиталь для ветеранов войн"" в 2023 г. – 2024 г.»'";'345 174,50';'7720325340'
'2246300420722000247';'2463004207';"'ЭА 98/22 ""На право поставки лекарственных препаратов (ХОЛИНА АЛЬФОСЦЕРАТ) для нужд КГБУЗ «Красноярский краевой госпиталь для ветеранов войн» на 2022– 2023 гг.""'";'267 568,00';'5009123302'
'3532103569224000014';'5321035692';'Приобретение жилого помещения, для предоставления гражданину, относящемуся к категории детей-сирот и детей, оставшихся без попечения родителей, лиц из числа детей-сирот и детей, оставшихся без попечения родителей';'2 679 600,00';'5321078745'
'2190113011024000182';'1901130110';'Поставка питания для обеспечения оказания отдельным категориям граждан социальной услуги по обеспечению специализированными продуктами лечебного питания для детей-инвалидов ФЛО в 2024 году';'84 425,00';'7203322373'
'2594803504224000012';'5948035042';'ПОСТАВКА КОСТЮМОВ РАБОЧИХ, МУЖСКИХ ДЛЯ НУЖД  ГКУ ПК «УГПС  ПЕРМСКОГО КРАЯ»';'958 808,82';'6950200320'
'1391800870724000012';'3918008707';'Строительные материалы для питомника служебного собаководства';'61 873,95';'390404985180'
'2027403310324000119';'0274033103';'Поставка медицинских изделий (гемоконцентратор)';'2 993 760,00';'110204967620'
'1772800895324000221';'7728008953';'Поставка изделий медицинского назначения для отделения функциональной диагностики';'49 950,00';'7736056887'
'1180870044624000013';'1808700446';'Поставка раковин и унитазов в рамках капитального ремонта';'138 000,00';'1840114439'
'1550201837824000020';'5502018378';'Поставка медицинских изделий (изделия для клинико-диагностической лаборатории)';'598 497,00';'5505210087'
'2301605543423000016';'3016055434';'Водоснабжение и водоотведение';'250 119,02';'3017037981'
'1301508168924000031';'3015081689';'Поставка расходного материала для кардиохирургии (Кардиовертер-дефибриллятор имплантируемый двухкамерный)';'14 331 700,00';'7733807221'
'2190113011024000088';'1901130110';'Поставка питания для обеспечения оказания отдельным категориям граждан социальной услуги по обеспечению специализированными продуктами лечебного питания для детей-инвалидов ФЛО в 2024 году';'300 103,20';'7724419198'
'3532103569224000009';'5321035692';'Приобретение жилого помещения, для предоставления гражданину, относящемуся к категории детей-сирот и детей, оставшихся без попечения родителей, лиц из числа детей-сирот и детей, оставшихся без попечения родителей';'2 679 600,00';'5321078745'
'2027403310324000187';'0274033103';'Поставка медицинских изделий (Стент-графт эндоваскулярный для нисходящего отдела грудной аорты)';'516 000,00';'9701189537'
'1526229277624000033';'5262292776';'Поставка лекарственных препаратов для медицинского применения, включенных в перечень ЖНВЛП';'155 374,10';'1328013394'
'3540506945824000050';'5405069458';'Поставка дезинфицирующих средств';'23 215,14';'5407053742'
'1745304082223000375';'7453040822';'Поставка в 2024 году кресел-колясок с ручным приводом прогулочных в целях социального обеспечения лиц, проживающих на территории Челябинской области';'23 307 000,00';'6321264550'
'2772505632423000157';'7725056324';'Электронный аукцион на поставку бахил водонепроницаемых в 2024 год для нужд ГБУЗ НПЦ им. Соловьева ДЗМ.';'552 960,00';'502000345130'
'2190113011024000158';'1901130110';'Поставка питания для обеспечения оказания отдельным категориям граждан социальной услуги по обеспечению специализированными продуктами лечебного питания для детей-инвалидов ФЛО в 2024 году';'140 738,40';'9704007961'
'1550201837824000225';'5502018378';"'Поставка медицинских изделий: Наборы инструментов для эндоскопической хирургии НИЭХ ""ЭНДОМЕДИУМ"" по ТУ 9437-001-47086606-01'";'106 740,00';'5503162198'
'2027403310324000184';'0274033103';'Поставка медицинских изделий (Стент-графт эндоваскулярный для нисходящего отдела грудной аорты)';'599 000,00';'9701189537'
'2782605180523000041';'7826051805';'Поставка учебно-наглядного оборудования и учебных наборов для кабинета химии для нужд государственных бюджетных образовательных учреждений, подведомственных администрации Адмиралтейского района Санкт-Петербурга, в 2023 году';'2 000 000,00';'7813651805'
'2056205374823000046';'0562053748';'Оказание услуг по технической поддержке информационных технологий для выполнения функций и полномочий судебных участков мировых судей Республики Дагестан';'2 340 000,00';'0554001513'
'2683202476623000218';'6832024766';'Поставка лекарственных препаратов натамицин, хлоргексидин';'80 584,00';'5040126030'
'1180870044624000020';'1808700446';'Поставка смесей сухих строительных';'23 694,76';'1840027666'
'3540506945824000051';'5405069458';'Поставка товаров медицинского направления';'3 856,00';'540541398331'
'2132619621624000038';'1326196216';"'закупка стеллажа складского металлического  для объекта капитального строительства:  ""Ичалковский дом-интернат для престарелых и инвалидов""  '";'373 176,00';'1326251273'
'2027403310324000005';'0274033103';'Поставка медицинских изделий для проведения изоляции устья легочных вен';'54 355 440,00';'027605507602'
'2890401811924000046';'8904018119';'Поставка лекарственных препаратов для медицинского применения';'50 465,00';'7724922443'
'2190113011024000189';'1901130110';'Поставка лекарственного препарата для оказания отдельным категориям граждан социальной услуги по обеспечению лекарственными препаратами для медицинского применения по рецептам на лекарственные препараты ФЛО (СОФОСБУВИР) в 2024 году';'555 601,20';'7718538045'
'3663301821424000003';'6633018214';'Оказание услуг по организации оздоровления и отдыха детей в санаториях и санаторно-оздоровительных лагерях круглогодичного действия в учебное время в количестве 32 человека';'1 111 552,00';'6673134601'
'2860311280924000131';'8603112809';'Поставка медицинского расходного материала';'80 500,00';'7203184282'
'2710703104323000374';'7107031043';'Поставка продуктов питания (бакалея 4)';'4 800,00';'7105049045'
